ID is: c0_g1_i1 	Count of A: 360 	Count of T: 370 	Count of C: 227 	Count of G: 206
ID is: c26_g2_i1 	Count of A: 513 	Count of T: 635 	Count of C: 353 	Count of G: 398
ID is: c28_g1_i1 	Count of A: 70 	Count of T: 67 	Count of C: 40 	Count of G: 31
ID is: c29_g1_i1 	Count of A: 624 	Count of T: 707 	Count of C: 421 	Count of G: 444
ID is: c29_g1_i2 	Count of A: 633 	Count of T: 722 	Count of C: 439 	Count of G: 436
ID is: c30_g1_i1 	Count of A: 283 	Count of T: 215 	Count of C: 122 	Count of G: 132
ID is: c31_g1_i1 	Count of A: 479 	Count of T: 780 	Count of C: 534 	Count of G: 419
ID is: c32_g1_i1 	Count of A: 279 	Count of T: 275 	Count of C: 150 	Count of G: 170
ID is: c33_g1_i1 	Count of A: 186 	Count of T: 85 	Count of C: 61 	Count of G: 97
ID is: c33_g2_i1 	Count of A: 107 	Count of T: 64 	Count of C: 50 	Count of G: 53
ID is: c34_g1_i1 	Count of A: 63 	Count of T: 79 	Count of C: 29 	Count of G: 31
ID is: c34_g2_i1 	Count of A: 469 	Count of T: 752 	Count of C: 354 	Count of G: 348
ID is: c35_g1_i1 	Count of A: 300 	Count of T: 355 	Count of C: 213 	Count of G: 180
ID is: c36_g1_i1 	Count of A: 240 	Count of T: 240 	Count of C: 134 	Count of G: 142
ID is: c37_g1_i1 	Count of A: 864 	Count of T: 936 	Count of C: 606 	Count of G: 606
ID is: c38_g1_i1 	Count of A: 740 	Count of T: 598 	Count of C: 414 	Count of G: 449
ID is: c39_g1_i1 	Count of A: 643 	Count of T: 656 	Count of C: 422 	Count of G: 391
ID is: c41_g1_i1 	Count of A: 249 	Count of T: 264 	Count of C: 132 	Count of G: 174
ID is: c42_g1_i1 	Count of A: 713 	Count of T: 735 	Count of C: 419 	Count of G: 549
ID is: c43_g1_i1 	Count of A: 454 	Count of T: 323 	Count of C: 204 	Count of G: 224
ID is: c44_g1_i1 	Count of A: 450 	Count of T: 476 	Count of C: 252 	Count of G: 298
ID is: c45_g1_i1 	Count of A: 261 	Count of T: 242 	Count of C: 124 	Count of G: 150
ID is: c46_g1_i1 	Count of A: 513 	Count of T: 498 	Count of C: 345 	Count of G: 326
ID is: c47_g1_i1 	Count of A: 766 	Count of T: 668 	Count of C: 438 	Count of G: 509
ID is: c47_g2_i1 	Count of A: 96 	Count of T: 80 	Count of C: 51 	Count of G: 56
ID is: c48_g1_i1 	Count of A: 357 	Count of T: 616 	Count of C: 344 	Count of G: 342
ID is: c48_g2_i1 	Count of A: 112 	Count of T: 143 	Count of C: 77 	Count of G: 65
ID is: c49_g1_i1 	Count of A: 698 	Count of T: 887 	Count of C: 509 	Count of G: 534
ID is: c50_g1_i1 	Count of A: 262 	Count of T: 293 	Count of C: 172 	Count of G: 158
ID is: c51_g1_i1 	Count of A: 222 	Count of T: 218 	Count of C: 113 	Count of G: 113
ID is: c52_g1_i1 	Count of A: 677 	Count of T: 755 	Count of C: 497 	Count of G: 363
ID is: c53_g1_i1 	Count of A: 177 	Count of T: 240 	Count of C: 118 	Count of G: 141
ID is: c54_g1_i1 	Count of A: 303 	Count of T: 272 	Count of C: 183 	Count of G: 140
ID is: c55_g1_i1 	Count of A: 215 	Count of T: 159 	Count of C: 120 	Count of G: 120
ID is: c56_g1_i1 	Count of A: 325 	Count of T: 298 	Count of C: 189 	Count of G: 186
ID is: c56_g1_i2 	Count of A: 390 	Count of T: 351 	Count of C: 220 	Count of G: 217
ID is: c57_g1_i1 	Count of A: 928 	Count of T: 772 	Count of C: 554 	Count of G: 426
ID is: c58_g1_i1 	Count of A: 310 	Count of T: 345 	Count of C: 203 	Count of G: 218
ID is: c59_g1_i1 	Count of A: 428 	Count of T: 503 	Count of C: 260 	Count of G: 273
ID is: c60_g1_i1 	Count of A: 538 	Count of T: 584 	Count of C: 401 	Count of G: 371
ID is: c60_g2_i1 	Count of A: 99 	Count of T: 73 	Count of C: 51 	Count of G: 48
ID is: c61_g1_i1 	Count of A: 744 	Count of T: 805 	Count of C: 501 	Count of G: 530
ID is: c62_g1_i1 	Count of A: 217 	Count of T: 252 	Count of C: 156 	Count of G: 137
ID is: c63_g1_i1 	Count of A: 337 	Count of T: 312 	Count of C: 194 	Count of G: 189
ID is: c64_g1_i1 	Count of A: 739 	Count of T: 580 	Count of C: 394 	Count of G: 484
ID is: c65_g1_i1 	Count of A: 310 	Count of T: 429 	Count of C: 247 	Count of G: 208
ID is: c66_g1_i1 	Count of A: 68 	Count of T: 86 	Count of C: 56 	Count of G: 30
ID is: c66_g2_i1 	Count of A: 567 	Count of T: 553 	Count of C: 379 	Count of G: 368
ID is: c69_g1_i1 	Count of A: 478 	Count of T: 467 	Count of C: 340 	Count of G: 297
ID is: c70_g1_i1 	Count of A: 351 	Count of T: 418 	Count of C: 213 	Count of G: 240
ID is: c71_g1_i1 	Count of A: 74 	Count of T: 66 	Count of C: 32 	Count of G: 40
ID is: c71_g2_i1 	Count of A: 114 	Count of T: 165 	Count of C: 92 	Count of G: 73
ID is: c72_g1_i1 	Count of A: 108 	Count of T: 99 	Count of C: 49 	Count of G: 55
ID is: c72_g2_i1 	Count of A: 55 	Count of T: 134 	Count of C: 74 	Count of G: 47
ID is: c73_g1_i1 	Count of A: 280 	Count of T: 263 	Count of C: 173 	Count of G: 153
ID is: c74_g1_i1 	Count of A: 515 	Count of T: 461 	Count of C: 319 	Count of G: 300
ID is: c77_g1_i1 	Count of A: 121 	Count of T: 115 	Count of C: 58 	Count of G: 87
ID is: c77_g2_i1 	Count of A: 124 	Count of T: 102 	Count of C: 60 	Count of G: 50
ID is: c77_g3_i1 	Count of A: 228 	Count of T: 239 	Count of C: 148 	Count of G: 168
ID is: c77_g4_i1 	Count of A: 256 	Count of T: 227 	Count of C: 122 	Count of G: 169
ID is: c78_g1_i1 	Count of A: 585 	Count of T: 629 	Count of C: 397 	Count of G: 347
ID is: c78_g1_i2 	Count of A: 543 	Count of T: 595 	Count of C: 376 	Count of G: 316
ID is: c79_g1_i1 	Count of A: 61 	Count of T: 87 	Count of C: 39 	Count of G: 37
ID is: c79_g2_i1 	Count of A: 174 	Count of T: 135 	Count of C: 91 	Count of G: 118
ID is: c80_g1_i1 	Count of A: 233 	Count of T: 313 	Count of C: 140 	Count of G: 159
ID is: c81_g1_i1 	Count of A: 81 	Count of T: 63 	Count of C: 31 	Count of G: 40
ID is: c81_g2_i1 	Count of A: 90 	Count of T: 89 	Count of C: 57 	Count of G: 52
ID is: c82_g1_i1 	Count of A: 530 	Count of T: 579 	Count of C: 327 	Count of G: 352
ID is: c82_g2_i1 	Count of A: 81 	Count of T: 90 	Count of C: 45 	Count of G: 43
ID is: c83_g1_i1 	Count of A: 116 	Count of T: 170 	Count of C: 76 	Count of G: 84
ID is: c84_g1_i1 	Count of A: 264 	Count of T: 283 	Count of C: 186 	Count of G: 166
ID is: c86_g1_i1 	Count of A: 348 	Count of T: 431 	Count of C: 279 	Count of G: 225
ID is: c87_g1_i1 	Count of A: 210 	Count of T: 306 	Count of C: 148 	Count of G: 159
ID is: c88_g1_i1 	Count of A: 84 	Count of T: 68 	Count of C: 49 	Count of G: 45
ID is: c88_g2_i1 	Count of A: 233 	Count of T: 258 	Count of C: 152 	Count of G: 122
ID is: c89_g1_i1 	Count of A: 102 	Count of T: 144 	Count of C: 99 	Count of G: 50
ID is: c90_g1_i1 	Count of A: 103 	Count of T: 88 	Count of C: 62 	Count of G: 72
ID is: c90_g2_i1 	Count of A: 69 	Count of T: 87 	Count of C: 33 	Count of G: 42
ID is: c91_g1_i1 	Count of A: 74 	Count of T: 80 	Count of C: 33 	Count of G: 36
ID is: c91_g2_i1 	Count of A: 54 	Count of T: 72 	Count of C: 39 	Count of G: 42
ID is: c92_g1_i1 	Count of A: 328 	Count of T: 337 	Count of C: 201 	Count of G: 185
ID is: c93_g1_i1 	Count of A: 188 	Count of T: 270 	Count of C: 173 	Count of G: 116
ID is: c94_g1_i1 	Count of A: 151 	Count of T: 155 	Count of C: 126 	Count of G: 131
ID is: c95_g1_i1 	Count of A: 759 	Count of T: 680 	Count of C: 758 	Count of G: 620
ID is: c96_g1_i1 	Count of A: 805 	Count of T: 726 	Count of C: 483 	Count of G: 449
ID is: c97_g1_i1 	Count of A: 440 	Count of T: 493 	Count of C: 287 	Count of G: 295
ID is: c99_g1_i1 	Count of A: 555 	Count of T: 607 	Count of C: 369 	Count of G: 470
ID is: c100_g1_i1 	Count of A: 718 	Count of T: 786 	Count of C: 509 	Count of G: 475
ID is: c101_g1_i1 	Count of A: 405 	Count of T: 575 	Count of C: 349 	Count of G: 303
ID is: c102_g1_i1 	Count of A: 1247 	Count of T: 1527 	Count of C: 929 	Count of G: 1033
ID is: c103_g1_i1 	Count of A: 76 	Count of T: 74 	Count of C: 35 	Count of G: 42
ID is: c104_g1_i1 	Count of A: 128 	Count of T: 96 	Count of C: 67 	Count of G: 57
ID is: c104_g2_i1 	Count of A: 213 	Count of T: 176 	Count of C: 97 	Count of G: 104
ID is: c105_g1_i1 	Count of A: 419 	Count of T: 627 	Count of C: 343 	Count of G: 257
ID is: c107_g1_i1 	Count of A: 73 	Count of T: 81 	Count of C: 55 	Count of G: 52
ID is: c108_g1_i1 	Count of A: 100 	Count of T: 117 	Count of C: 66 	Count of G: 50
ID is: c108_g2_i1 	Count of A: 90 	Count of T: 99 	Count of C: 70 	Count of G: 56
ID is: c108_g3_i1 	Count of A: 358 	Count of T: 295 	Count of C: 205 	Count of G: 211
ID is: c108_g4_i1 	Count of A: 223 	Count of T: 212 	Count of C: 143 	Count of G: 127
ID is: c110_g1_i1 	Count of A: 166 	Count of T: 247 	Count of C: 125 	Count of G: 150
ID is: c110_g2_i1 	Count of A: 100 	Count of T: 94 	Count of C: 56 	Count of G: 60
ID is: c110_g3_i1 	Count of A: 96 	Count of T: 146 	Count of C: 72 	Count of G: 79
ID is: c111_g1_i1 	Count of A: 105 	Count of T: 65 	Count of C: 42 	Count of G: 55
ID is: c111_g2_i1 	Count of A: 143 	Count of T: 132 	Count of C: 81 	Count of G: 83
ID is: c111_g3_i1 	Count of A: 515 	Count of T: 523 	Count of C: 272 	Count of G: 329
ID is: c113_g1_i1 	Count of A: 364 	Count of T: 358 	Count of C: 217 	Count of G: 233
ID is: c113_g2_i1 	Count of A: 81 	Count of T: 94 	Count of C: 64 	Count of G: 80
ID is: c114_g1_i1 	Count of A: 177 	Count of T: 153 	Count of C: 126 	Count of G: 88
ID is: c114_g2_i1 	Count of A: 86 	Count of T: 94 	Count of C: 53 	Count of G: 39
ID is: c115_g1_i1 	Count of A: 283 	Count of T: 332 	Count of C: 160 	Count of G: 168
ID is: c116_g1_i1 	Count of A: 266 	Count of T: 263 	Count of C: 143 	Count of G: 179
ID is: c116_g2_i1 	Count of A: 72 	Count of T: 105 	Count of C: 50 	Count of G: 35
ID is: c117_g1_i1 	Count of A: 700 	Count of T: 700 	Count of C: 445 	Count of G: 482
ID is: c118_g1_i1 	Count of A: 782 	Count of T: 926 	Count of C: 477 	Count of G: 537
ID is: c118_g2_i1 	Count of A: 76 	Count of T: 122 	Count of C: 48 	Count of G: 77
ID is: c119_g1_i1 	Count of A: 102 	Count of T: 79 	Count of C: 51 	Count of G: 49
ID is: c119_g2_i1 	Count of A: 285 	Count of T: 400 	Count of C: 196 	Count of G: 251
ID is: c120_g1_i1 	Count of A: 238 	Count of T: 279 	Count of C: 152 	Count of G: 120
ID is: c120_g2_i1 	Count of A: 308 	Count of T: 312 	Count of C: 169 	Count of G: 159
ID is: c120_g3_i1 	Count of A: 97 	Count of T: 112 	Count of C: 55 	Count of G: 56
ID is: c121_g1_i1 	Count of A: 604 	Count of T: 684 	Count of C: 535 	Count of G: 476
ID is: c122_g1_i1 	Count of A: 252 	Count of T: 354 	Count of C: 178 	Count of G: 172
ID is: c122_g2_i1 	Count of A: 75 	Count of T: 103 	Count of C: 56 	Count of G: 45
ID is: c122_g3_i1 	Count of A: 70 	Count of T: 95 	Count of C: 48 	Count of G: 37
ID is: c123_g1_i1 	Count of A: 194 	Count of T: 122 	Count of C: 122 	Count of G: 87
ID is: c123_g2_i1 	Count of A: 92 	Count of T: 60 	Count of C: 48 	Count of G: 42
ID is: c123_g3_i1 	Count of A: 119 	Count of T: 74 	Count of C: 81 	Count of G: 54
ID is: c124_g1_i1 	Count of A: 371 	Count of T: 404 	Count of C: 184 	Count of G: 208
ID is: c125_g1_i1 	Count of A: 89 	Count of T: 93 	Count of C: 57 	Count of G: 69
ID is: c125_g2_i1 	Count of A: 695 	Count of T: 659 	Count of C: 387 	Count of G: 432
ID is: c125_g2_i2 	Count of A: 617 	Count of T: 554 	Count of C: 330 	Count of G: 375
ID is: c126_g1_i1 	Count of A: 1390 	Count of T: 1554 	Count of C: 887 	Count of G: 1022
ID is: c126_g1_i2 	Count of A: 1054 	Count of T: 1188 	Count of C: 687 	Count of G: 796
ID is: c127_g1_i1 	Count of A: 139 	Count of T: 92 	Count of C: 78 	Count of G: 91
ID is: c127_g1_i2 	Count of A: 87 	Count of T: 64 	Count of C: 56 	Count of G: 59
ID is: c128_g1_i1 	Count of A: 581 	Count of T: 492 	Count of C: 325 	Count of G: 305
ID is: c128_g1_i2 	Count of A: 596 	Count of T: 496 	Count of C: 328 	Count of G: 310
ID is: c128_g2_i1 	Count of A: 82 	Count of T: 62 	Count of C: 33 	Count of G: 44
ID is: c129_g1_i1 	Count of A: 94 	Count of T: 85 	Count of C: 55 	Count of G: 63
ID is: c129_g2_i1 	Count of A: 86 	Count of T: 80 	Count of C: 50 	Count of G: 48
ID is: c129_g3_i1 	Count of A: 558 	Count of T: 586 	Count of C: 333 	Count of G: 375
ID is: c130_g1_i1 	Count of A: 178 	Count of T: 215 	Count of C: 104 	Count of G: 98
ID is: c130_g2_i1 	Count of A: 564 	Count of T: 552 	Count of C: 371 	Count of G: 319
ID is: c130_g3_i1 	Count of A: 116 	Count of T: 130 	Count of C: 73 	Count of G: 66
ID is: c131_g1_i1 	Count of A: 105 	Count of T: 121 	Count of C: 50 	Count of G: 43
ID is: c131_g2_i1 	Count of A: 358 	Count of T: 277 	Count of C: 226 	Count of G: 167
ID is: c132_g1_i1 	Count of A: 1115 	Count of T: 1593 	Count of C: 823 	Count of G: 825
ID is: c132_g2_i1 	Count of A: 277 	Count of T: 293 	Count of C: 198 	Count of G: 212
ID is: c132_g3_i1 	Count of A: 212 	Count of T: 331 	Count of C: 193 	Count of G: 171
ID is: c133_g1_i1 	Count of A: 193 	Count of T: 260 	Count of C: 215 	Count of G: 138
ID is: c133_g1_i2 	Count of A: 469 	Count of T: 619 	Count of C: 465 	Count of G: 295
ID is: c134_g1_i1 	Count of A: 213 	Count of T: 265 	Count of C: 263 	Count of G: 145
ID is: c134_g2_i1 	Count of A: 327 	Count of T: 407 	Count of C: 203 	Count of G: 248
ID is: c134_g3_i1 	Count of A: 270 	Count of T: 260 	Count of C: 160 	Count of G: 164
ID is: c134_g3_i2 	Count of A: 639 	Count of T: 650 	Count of C: 410 	Count of G: 405
ID is: c135_g1_i1 	Count of A: 1077 	Count of T: 1166 	Count of C: 633 	Count of G: 759
ID is: c135_g2_i1 	Count of A: 68 	Count of T: 73 	Count of C: 41 	Count of G: 49
ID is: c135_g3_i1 	Count of A: 127 	Count of T: 183 	Count of C: 85 	Count of G: 72
ID is: c135_g4_i1 	Count of A: 72 	Count of T: 94 	Count of C: 48 	Count of G: 55
ID is: c136_g1_i1 	Count of A: 315 	Count of T: 351 	Count of C: 231 	Count of G: 208
ID is: c137_g1_i1 	Count of A: 125 	Count of T: 110 	Count of C: 66 	Count of G: 52
ID is: c137_g2_i1 	Count of A: 77 	Count of T: 70 	Count of C: 36 	Count of G: 37
ID is: c137_g3_i1 	Count of A: 122 	Count of T: 86 	Count of C: 56 	Count of G: 61
ID is: c137_g4_i1 	Count of A: 81 	Count of T: 95 	Count of C: 41 	Count of G: 64
ID is: c137_g5_i1 	Count of A: 155 	Count of T: 134 	Count of C: 64 	Count of G: 88
ID is: c138_g1_i1 	Count of A: 252 	Count of T: 185 	Count of C: 108 	Count of G: 118
ID is: c139_g1_i1 	Count of A: 81 	Count of T: 60 	Count of C: 33 	Count of G: 44
ID is: c139_g2_i1 	Count of A: 117 	Count of T: 125 	Count of C: 59 	Count of G: 69
ID is: c139_g3_i1 	Count of A: 75 	Count of T: 56 	Count of C: 45 	Count of G: 38
ID is: c139_g4_i1 	Count of A: 81 	Count of T: 62 	Count of C: 40 	Count of G: 34
ID is: c139_g5_i1 	Count of A: 122 	Count of T: 74 	Count of C: 53 	Count of G: 69
ID is: c140_g1_i1 	Count of A: 140 	Count of T: 149 	Count of C: 82 	Count of G: 99
ID is: c140_g2_i1 	Count of A: 104 	Count of T: 107 	Count of C: 54 	Count of G: 61
ID is: c140_g3_i1 	Count of A: 301 	Count of T: 291 	Count of C: 140 	Count of G: 176
ID is: c141_g1_i1 	Count of A: 67 	Count of T: 68 	Count of C: 33 	Count of G: 34
ID is: c141_g2_i1 	Count of A: 99 	Count of T: 94 	Count of C: 57 	Count of G: 44
ID is: c141_g3_i1 	Count of A: 128 	Count of T: 96 	Count of C: 48 	Count of G: 49
ID is: c141_g4_i1 	Count of A: 109 	Count of T: 122 	Count of C: 65 	Count of G: 76
ID is: c142_g1_i1 	Count of A: 180 	Count of T: 146 	Count of C: 107 	Count of G: 72
ID is: c142_g2_i1 	Count of A: 905 	Count of T: 1070 	Count of C: 572 	Count of G: 672
ID is: c143_g1_i1 	Count of A: 86 	Count of T: 97 	Count of C: 57 	Count of G: 65
ID is: c143_g2_i1 	Count of A: 115 	Count of T: 122 	Count of C: 67 	Count of G: 68
ID is: c143_g3_i1 	Count of A: 50 	Count of T: 83 	Count of C: 40 	Count of G: 39
ID is: c144_g1_i1 	Count of A: 170 	Count of T: 154 	Count of C: 87 	Count of G: 109
ID is: c144_g2_i1 	Count of A: 167 	Count of T: 150 	Count of C: 77 	Count of G: 89
ID is: c145_g1_i1 	Count of A: 80 	Count of T: 60 	Count of C: 58 	Count of G: 53
ID is: c145_g2_i1 	Count of A: 239 	Count of T: 182 	Count of C: 125 	Count of G: 170
ID is: c145_g3_i1 	Count of A: 356 	Count of T: 343 	Count of C: 195 	Count of G: 250
ID is: c146_g1_i1 	Count of A: 164 	Count of T: 111 	Count of C: 76 	Count of G: 91
ID is: c146_g2_i1 	Count of A: 309 	Count of T: 318 	Count of C: 194 	Count of G: 227
ID is: c146_g3_i1 	Count of A: 428 	Count of T: 384 	Count of C: 236 	Count of G: 274
ID is: c147_g1_i1 	Count of A: 786 	Count of T: 838 	Count of C: 556 	Count of G: 581
ID is: c148_g1_i1 	Count of A: 362 	Count of T: 408 	Count of C: 258 	Count of G: 246
ID is: c149_g1_i1 	Count of A: 368 	Count of T: 458 	Count of C: 275 	Count of G: 171
ID is: c150_g1_i1 	Count of A: 87 	Count of T: 84 	Count of C: 47 	Count of G: 45
ID is: c150_g2_i1 	Count of A: 354 	Count of T: 347 	Count of C: 199 	Count of G: 229
ID is: c151_g1_i1 	Count of A: 99 	Count of T: 100 	Count of C: 51 	Count of G: 53
ID is: c151_g2_i1 	Count of A: 89 	Count of T: 110 	Count of C: 42 	Count of G: 64
ID is: c151_g3_i1 	Count of A: 173 	Count of T: 187 	Count of C: 114 	Count of G: 103
ID is: c151_g4_i1 	Count of A: 110 	Count of T: 140 	Count of C: 80 	Count of G: 81
ID is: c151_g5_i1 	Count of A: 117 	Count of T: 134 	Count of C: 53 	Count of G: 82
ID is: c151_g6_i1 	Count of A: 187 	Count of T: 195 	Count of C: 96 	Count of G: 125
ID is: c152_g1_i1 	Count of A: 140 	Count of T: 139 	Count of C: 74 	Count of G: 88
ID is: c152_g2_i1 	Count of A: 125 	Count of T: 105 	Count of C: 68 	Count of G: 57
ID is: c152_g3_i1 	Count of A: 76 	Count of T: 74 	Count of C: 60 	Count of G: 44
ID is: c152_g4_i1 	Count of A: 118 	Count of T: 102 	Count of C: 66 	Count of G: 75
ID is: c152_g5_i1 	Count of A: 106 	Count of T: 95 	Count of C: 55 	Count of G: 61
ID is: c152_g6_i1 	Count of A: 147 	Count of T: 157 	Count of C: 108 	Count of G: 111
ID is: c153_g1_i1 	Count of A: 508 	Count of T: 579 	Count of C: 334 	Count of G: 351
ID is: c154_g1_i1 	Count of A: 304 	Count of T: 272 	Count of C: 232 	Count of G: 247
ID is: c155_g1_i1 	Count of A: 573 	Count of T: 679 	Count of C: 538 	Count of G: 511
ID is: c155_g1_i2 	Count of A: 632 	Count of T: 730 	Count of C: 512 	Count of G: 514
ID is: c156_g1_i1 	Count of A: 82 	Count of T: 84 	Count of C: 45 	Count of G: 48
ID is: c156_g2_i1 	Count of A: 93 	Count of T: 111 	Count of C: 55 	Count of G: 49
ID is: c156_g3_i1 	Count of A: 261 	Count of T: 290 	Count of C: 147 	Count of G: 151
ID is: c156_g4_i1 	Count of A: 225 	Count of T: 185 	Count of C: 121 	Count of G: 159
ID is: c157_g1_i1 	Count of A: 106 	Count of T: 146 	Count of C: 68 	Count of G: 89
ID is: c157_g2_i1 	Count of A: 210 	Count of T: 222 	Count of C: 110 	Count of G: 100
ID is: c158_g1_i1 	Count of A: 369 	Count of T: 554 	Count of C: 282 	Count of G: 215
ID is: c159_g1_i1 	Count of A: 98 	Count of T: 99 	Count of C: 59 	Count of G: 58
ID is: c159_g2_i1 	Count of A: 141 	Count of T: 140 	Count of C: 90 	Count of G: 97
ID is: c160_g1_i1 	Count of A: 571 	Count of T: 564 	Count of C: 357 	Count of G: 425
ID is: c161_g1_i1 	Count of A: 54 	Count of T: 80 	Count of C: 44 	Count of G: 34
ID is: c161_g2_i1 	Count of A: 580 	Count of T: 601 	Count of C: 381 	Count of G: 406
ID is: c162_g1_i1 	Count of A: 116 	Count of T: 174 	Count of C: 72 	Count of G: 95
ID is: c162_g2_i1 	Count of A: 106 	Count of T: 106 	Count of C: 66 	Count of G: 70
ID is: c163_g1_i1 	Count of A: 555 	Count of T: 596 	Count of C: 404 	Count of G: 435
ID is: c164_g1_i1 	Count of A: 130 	Count of T: 207 	Count of C: 80 	Count of G: 99
ID is: c164_g1_i2 	Count of A: 125 	Count of T: 197 	Count of C: 65 	Count of G: 90
ID is: c164_g2_i1 	Count of A: 719 	Count of T: 485 	Count of C: 326 	Count of G: 293
ID is: c164_g3_i1 	Count of A: 1007 	Count of T: 765 	Count of C: 490 	Count of G: 408
ID is: c164_g3_i2 	Count of A: 1114 	Count of T: 828 	Count of C: 544 	Count of G: 457
ID is: c164_g3_i3 	Count of A: 210 	Count of T: 155 	Count of C: 78 	Count of G: 82
ID is: c165_g1_i1 	Count of A: 317 	Count of T: 311 	Count of C: 200 	Count of G: 180
ID is: c166_g1_i1 	Count of A: 735 	Count of T: 799 	Count of C: 522 	Count of G: 549
ID is: c167_g1_i1 	Count of A: 280 	Count of T: 487 	Count of C: 284 	Count of G: 213
ID is: c168_g1_i1 	Count of A: 304 	Count of T: 281 	Count of C: 185 	Count of G: 218
ID is: c169_g1_i1 	Count of A: 482 	Count of T: 408 	Count of C: 295 	Count of G: 291
ID is: c170_g1_i1 	Count of A: 317 	Count of T: 364 	Count of C: 247 	Count of G: 195
ID is: c171_g1_i1 	Count of A: 476 	Count of T: 603 	Count of C: 355 	Count of G: 345
ID is: c172_g1_i1 	Count of A: 380 	Count of T: 385 	Count of C: 254 	Count of G: 252
ID is: c173_g1_i1 	Count of A: 592 	Count of T: 737 	Count of C: 508 	Count of G: 379
ID is: c174_g1_i1 	Count of A: 682 	Count of T: 658 	Count of C: 392 	Count of G: 464
ID is: c175_g1_i1 	Count of A: 98 	Count of T: 85 	Count of C: 58 	Count of G: 59
ID is: c176_g1_i1 	Count of A: 544 	Count of T: 620 	Count of C: 415 	Count of G: 357
ID is: c177_g1_i1 	Count of A: 931 	Count of T: 938 	Count of C: 557 	Count of G: 649
ID is: c178_g1_i1 	Count of A: 434 	Count of T: 353 	Count of C: 236 	Count of G: 304
ID is: c179_g1_i1 	Count of A: 357 	Count of T: 376 	Count of C: 231 	Count of G: 262
ID is: c180_g1_i1 	Count of A: 414 	Count of T: 385 	Count of C: 249 	Count of G: 269
ID is: c181_g1_i1 	Count of A: 491 	Count of T: 477 	Count of C: 273 	Count of G: 291
ID is: c182_g1_i1 	Count of A: 95 	Count of T: 114 	Count of C: 56 	Count of G: 56
ID is: c183_g1_i1 	Count of A: 116 	Count of T: 65 	Count of C: 50 	Count of G: 48
ID is: c184_g1_i1 	Count of A: 198 	Count of T: 151 	Count of C: 97 	Count of G: 108
ID is: c185_g1_i1 	Count of A: 106 	Count of T: 83 	Count of C: 55 	Count of G: 58
ID is: c186_g1_i1 	Count of A: 61 	Count of T: 57 	Count of C: 36 	Count of G: 67
ID is: c187_g1_i1 	Count of A: 77 	Count of T: 106 	Count of C: 70 	Count of G: 71
ID is: c188_g1_i1 	Count of A: 86 	Count of T: 96 	Count of C: 43 	Count of G: 40
ID is: c189_g1_i1 	Count of A: 81 	Count of T: 72 	Count of C: 54 	Count of G: 67
ID is: c190_g1_i1 	Count of A: 63 	Count of T: 76 	Count of C: 29 	Count of G: 39
ID is: c191_g1_i1 	Count of A: 95 	Count of T: 72 	Count of C: 53 	Count of G: 59
